Country,Year,PIB,Code
Austria,1820,4104,AUT
Austria,1821,,AUT
Austria,1822,,AUT
Austria,1823,,AUT
Austria,1824,,AUT
Austria,1825,,AUT
Austria,1826,,AUT
Austria,1827,,AUT
Austria,1828,,AUT
Austria,1829,,AUT
Austria,1830,4948,AUT
Austria,1831,,AUT
Austria,1832,,AUT
Austria,1833,,AUT
Austria,1834,,AUT
Austria,1835,,AUT
Austria,1836,,AUT
Austria,1837,,AUT
Austria,1838,,AUT
Austria,1839,,AUT
Austria,1840,5628,AUT
Austria,1841,,AUT
Austria,1842,,AUT
Austria,1843,,AUT
Austria,1844,,AUT
Austria,1845,,AUT
Austria,1846,,AUT
Austria,1847,,AUT
Austria,1848,,AUT
Austria,1849,,AUT
Austria,1850,6519,AUT
Austria,1851,,AUT
Austria,1852,,AUT
Austria,1853,,AUT
Austria,1854,,AUT
Austria,1855,,AUT
Austria,1856,,AUT
Austria,1857,,AUT
Austria,1858,,AUT
Austria,1859,,AUT
Austria,1860,7528,AUT
Austria,1861,,AUT
Austria,1862,,AUT
Austria,1863,,AUT
Austria,1864,,AUT
Austria,1865,,AUT
Austria,1866,,AUT
Austria,1867,,AUT
Austria,1868,,AUT
Austria,1869,,AUT
Austria,1870,8419,AUT
Austria,1871,9029,AUT
Austria,1872,9099,AUT
Austria,1873,8888,AUT
Austria,1874,9287,AUT
Austria,1875,9333,AUT
Austria,1876,9545,AUT
Austria,1877,9873,AUT
Austria,1878,10201,AUT
Austria,1879,10131,AUT
Austria,1880,10272,AUT
Austria,1881,10694,AUT
Austria,1882,10764,AUT
Austria,1883,1121,AUT
Austria,1884,11514,AUT
Austria,1885,11444,AUT
Austria,1886,11819,AUT
Austria,1887,1264,AUT
Austria,1888,12617,AUT
Austria,1889,12499,AUT
Austria,1890,13179,AUT
Austria,1891,13648,AUT
Austria,1892,13953,AUT
Austria,1893,14047,AUT
Austria,1894,14868,AUT
Austria,1895,15267,AUT
Austria,1896,15501,AUT
Austria,1897,15829,AUT
Austria,1898,16721,AUT
Austria,1899,17072,AUT
Austria,1900,17213,AUT
Austria,1901,17283,AUT
Austria,1902,17963,AUT
Austria,1903,18128,AUT
Austria,1904,18409,AUT
Austria,1905,19441,AUT
Austria,1906,20191,AUT
Austria,1907,21434,AUT
Austria,1908,21528,AUT
Austria,1909,21458,AUT
Austria,1910,21763,AUT
Austria,1911,22443,AUT
Austria,1912,23568,AUT
Austria,1913,23451,AUT
Austria,1914,19572,AUT
Austria,1915,18154,AUT
Austria,1916,17933,AUT
Austria,1917,17548,AUT
Austria,1918,17186,AUT
Austria,1919,14503,AUT
Austria,1920,15571,AUT
Austria,1921,17236,AUT
Austria,1922,18784,AUT
Austria,1923,18597,AUT
Austria,1924,20754,AUT
